Id,PostTypeId,CreationDate,Tags
"51151052","2","2018-07-03 09:27:58",""
"51151053","2","2018-07-03 09:28:00",""
"51151054","2","2018-07-03 09:28:00",""
"51151055","1","2018-07-03 09:28:04","<android><android-recyclerview>"
"51151057","2","2018-07-03 09:28:05",""
"51151058","1","2018-07-03 09:28:10","<wordpress><archive><categories><taxonomy-terms><custom-field-type>"
"51151059","2","2018-07-03 09:28:13",""
"51151060","2","2018-07-03 09:28:14",""
"51151061","1","2018-07-03 09:28:18","<ecmascript-6><closures>"
"51151062","2","2018-07-03 09:28:20",""
"51151063","1","2018-07-03 09:28:25","<javascript><jquery><datatables>"
"51151066","1","2018-07-03 09:28:36","<java><swing><jbutton>"
"51151068","2","2018-07-03 09:28:47",""
"51151069","2","2018-07-03 09:28:49",""
"51151070","2","2018-07-03 09:28:53",""
"51151071","1","2018-07-03 09:28:57","<c#><bitmap><image-manipulation><bmp>"
"51151073","2","2018-07-03 09:29:00",""
"51151074","2","2018-07-03 09:29:02",""
"51151075","1","2018-07-03 09:29:03","<reactjs><material-ui><redux-form>"
"51151076","2","2018-07-03 09:29:04",""
"51151077","2","2018-07-03 09:29:12",""
"51151078","1","2018-07-03 09:29:14","<python><pandas>"
"51151079","2","2018-07-03 09:29:18",""
"51151081","1","2018-07-03 09:29:22","<reactjs>"
"51151082","2","2018-07-03 09:29:23",""
"51151083","2","2018-07-03 09:29:23",""
"51151084","2","2018-07-03 09:29:26",""
"51151087","2","2018-07-03 09:29:30",""
"51151088","2","2018-07-03 09:29:33",""
"51151091","2","2018-07-03 09:29:35",""
"51151092","2","2018-07-03 09:29:37",""
"51151095","2","2018-07-03 09:29:46",""
"51151096","2","2018-07-03 09:29:48",""
"51151097","1","2018-07-03 09:29:49","<ios><swift><mapbox>"
"51151098","1","2018-07-03 09:29:53","<c++><vector><stl><erase>"
"51151099","1","2018-07-03 09:29:54","<jquery><json><ajax><codeigniter-3>"
"51151100","1","2018-07-03 09:29:55","<php><laravel><laravel-blade>"
"51151101","2","2018-07-03 09:29:57",""
"51151102","2","2018-07-03 09:30:12",""
"51151103","1","2018-07-03 09:30:13","<android><android-fragments><timer>"
"51151104","2","2018-07-03 09:30:18",""
"51151105","2","2018-07-03 09:30:20",""
"51151107","1","2018-07-03 09:30:27","<r><shiny>"
"51151108","2","2018-07-03 09:30:33",""
"51151111","2","2018-07-03 09:30:42",""
"51151112","2","2018-07-03 09:30:44",""
"51151113","2","2018-07-03 09:30:49",""
"51151114","2","2018-07-03 09:30:50",""
"51151115","1","2018-07-03 09:30:55","<jquery><asp.net-mvc-4><paypal><paypal-sandbox>"
"51151118","1","2018-07-03 09:30:58","<vba><excel>"
"51151119","1","2018-07-03 09:31:00","<ios><swift3><uicollectionview><uicollectionviewcell><uicollectionviewlayout>"
"51151120","1","2018-07-03 09:31:13","<f#>"
"51151121","1","2018-07-03 09:31:15","<reactjs><webpack><webpack-dev-server><webpack-serve>"
"51151123","2","2018-07-03 09:31:20",""
"51151124","2","2018-07-03 09:31:20",""
"51151125","1","2018-07-03 09:31:22","<java><excel><apache-poi><xssf>"
"51151127","2","2018-07-03 09:31:24",""
"51151128","1","2018-07-03 09:31:24","<c#><windows><voice-recognition><dictation>"
"51151129","2","2018-07-03 09:31:25",""
"51151130","2","2018-07-03 09:31:31",""
"51151131","1","2018-07-03 09:31:32","<windows><batch-file><cmd><proxy><internet-options>"
"51151134","1","2018-07-03 09:31:41","<kibana><kibana-5>"
"51151135","2","2018-07-03 09:31:44",""
"51151136","1","2018-07-03 09:31:45","<php><mysql><sql><ajax><mysqli>"
"51151138","1","2018-07-03 09:31:54","<ios><swift>"
"51151139","5","2018-07-03 09:31:56",""
"51151140","4","2018-07-03 09:31:56",""
"51151142","1","2018-07-03 09:31:57","<php><pdf><encryption>"
"51151143","2","2018-07-03 09:32:02",""
"51151144","1","2018-07-03 09:32:04","<mysql><sql><ruby-on-rails><postgresql><activerecord>"
"51151145","1","2018-07-03 09:32:05","<javascript><jquery><syntax><line-breaks>"
"51151146","1","2018-07-03 09:32:12","<c>"
"51151147","1","2018-07-03 09:32:16","<r><sapply><mapply>"
"51151150","2","2018-07-03 09:32:34",""
"51151151","2","2018-07-03 09:32:35",""
"51151152","2","2018-07-03 09:32:36",""
"51151154","2","2018-07-03 09:32:44",""
"51151155","2","2018-07-03 09:32:49",""
"51151158","2","2018-07-03 09:32:52",""
"51151160","2","2018-07-03 09:33:02",""
"51151161","1","2018-07-03 09:33:03","<shell><powershell><command-line><active-directory><ldap>"
"51151163","1","2018-07-03 09:33:11","<javascript><forms><vue.js>"
"51151165","2","2018-07-03 09:33:15",""
"51151166","1","2018-07-03 09:33:24","<c><bit-shift>"
"51151169","1","2018-07-03 09:33:28","<r><model.matrix>"
"51151170","2","2018-07-03 09:33:28",""
"51151172","2","2018-07-03 09:33:31",""
"51151173","1","2018-07-03 09:33:39","<javascript><jquery>"
"51151175","1","2018-07-03 09:33:44","<asp.net-web-api><.net-core>"
"51151176","1","2018-07-03 09:33:44","<jdbc><jboss><wildfly><keycloak><galera>"
"51151177","1","2018-07-03 09:33:50","<java><memory-management><garbage-collection><heap-memory><g1gc>"
